종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2020_2,50000000.0,2676,"10,042,994,999,034","3,341,525,267,918","6,701,469,731,116",-,"145,222,363,913",54592,"87,846,158"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2020_3,77000000.0,2746,"11,232,623,887,656","3,762,807,718,531","7,469,816,169,125",-,"143,728,038,530",72357,"88,247,819"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2020_4,102000000.0,2837,"11,953,970,238,956","4,526,241,211,441","7,427,729,027,515",-,"173,359,671,915",78680,"88,501,998"
LG화학,356361,51910,화학,8.0,화학,G151010,2015_1,16600000.0,13936,-,-,-,-,-,228000,"66,271,100"
LG화학,356361,51910,화학,8.0,화학,G151010,2015_2,31500000.0,13935,-,-,-,-,-,269500,"66,271,100"
LG화학,356361,51910,화학,8.0,화학,G151010,2015_3,50400000.0,14188,-,-,-,-,-,264500,"66,271,100"
LG화학,356361,51910,화학,8.0,화학,G151010,2015_4,71200000.0,14280,"18,578,728,000,000","5,475,206,000,000","13,103,522,000,000","20,206,583,000,000","1,148,531,000,000",332500,"66,271,100"
LG화학,356361,51910,화학,8.0,화학,G151010,2016_1,19700000.0,14900,"18,860,285,000,000","5,753,936,000,000","13,106,349,000,000","4,874,092,000,000","338,125,000,000",333500,"66,271,100"
LG화학,356361,51910,화학,8.0,화학,G151010,2016_2,39875000.0,14863,"19,826,108,000,000","6,362,347,000,000","13,463,761,000,000","5,219,229,000,000","375,484,000,000",263500,"66,271,100"
LG화학,356361,51910,화학,8.0,화학,G151010,2016_3,52375000.0,15318,"20,039,691,000,000","6,367,397,000,000","13,672,294,000,000","5,054,278,000,000","297,428,000,000",242000,"66,271,100"
